id,nama,url,harga
134,Rode SC4 - TRS To TRRS Adaptor,https://galaxycamera.id/en/rode-sc4-trs-to-trrs-adaptor.html,"Rp202.000,00"
135,Rode SC3 - TRRS To TRS Adaptor,https://galaxycamera.id/en/rode-sc3-trrs-to-trs-adaptor.html,"Rp202.000,00"
136,Rode SC2 - 3.5mm TRS Patch Cable For iPHONE,https://galaxycamera.id/en/rode-sc2-3-5mm-trs-patch-cable-for-iphone.html,"Rp202.000,00"
137,Sony A6100 Kit 16-50mm White,https://galaxycamera.id/en/sony-a6100-kit-16-50mm-white.html,"Rp9.999.000,00"
138,Ulanzi VL49 Mini LED Video Light,https://galaxycamera.id/en/ulanzi-vl49-mini-led-video-light.html,"Rp190.000,00"
139,Ulanzi SK-02 All in 1 Bluetooth Selfie Stick,https://galaxycamera.id/en/ulanzi-sk-02-all-in-1-bluetooth-selfie-stick.html,"Rp280.000,00"
140,Ulanzi SK-01 All in 1 Bluetooth Selfie Stick White,https://galaxycamera.id/en/ulanzi-sk-01-selfie-stick-tripod-white.html,"Rp265.000,00"
141,Ulanzi SK-01 All in 1 Bluetooth Selfie Stick Red,https://galaxycamera.id/en/ulanzi-sk-01-selfie-stick-tripod-red.html,"Rp265.000,00"
142,Ulanzi U-Spin 360? Panoramic Electric Ball Head,https://galaxycamera.id/en/ulanzi-u-spin-360-panoramic-electric-ball-head.html,"Rp299.000,00"
143,Ulanzi VL120 Bi-Color LED Video Light,https://galaxycamera.id/en/ulanzi-vl120-bi-color-led-video-light.html,"Rp360.000,00"
144,Ulanzi U-Pad Pro Tablet Tripod Mount,https://galaxycamera.id/en/ulanzi-u-pad-pro-tablet-tripod-mount.html,"Rp299.000,00"
145,Feiyu AK4500 3-Axis Gimbal Stabilizer Basic,https://galaxycamera.id/en/feiyu-ak4500-basic.html,"Rp6.500.000,00"
146,Feiyu AK4000 3-Axis Gimbal Stabilizer,https://galaxycamera.id/en/feiyu-ak4000-3-axis-gimbal-stabilizer.html,"Rp5.250.000,00"
147,Lensa 7Artisans 35mm F1.2 Fuji FX Mount,https://galaxycamera.id/en/lensa-7artisans-35mm-f1-2-fuji-fx-mount.html,"Rp1.590.000,00"
148,Baterai Charger Casell NP-FZ100,https://galaxycamera.id/en/baterai-charger-casell-np-fz100.html,"Rp1.549.000,00"
149,TaffStudio BS-300 Background Bracket Stand 3M,https://galaxycamera.id/en/taffstudio-bs-300-bracket-stand-3m.html,"Rp400.000,00"
150,Andoer PB-A06 Klip Jepit Backdrop Studio,https://galaxycamera.id/en/andoer-pb-a06-klip-jepit-backdrop-studio.html,"Rp20.000,00"
151,Overfly Adapter Converter Audio AUX 2.5mm to 3.5mm,https://galaxycamera.id/en/overfly-adapter-converter-audio-aux-2-5mm-to-3-5mm.html,"Rp12.500,00"
152,Sony A6600 Kit E 18-135mm F/3.5-5.6 OSS,https://galaxycamera.id/en/sony-a6600-kit-18-135mm.html,"Rp26.999.000,00"
153,Sony A6600 Body,https://galaxycamera.id/en/sony-a6600-body.html,"Rp20.999.000,00"
154,Boya BY-BM2021 Super-Cardioid Shotgun Microphone,https://galaxycamera.id/en/boya-microphone-by-bm2021.html,"Rp570.000,00"
155,Boya BY-BM3011 Compact Shotgun Microphone,https://galaxycamera.id/en/boya-microphone-by-bm3011.html,"Rp440.000,00"
156,Takara T-058 Monopod Stand,https://galaxycamera.id/en/takara-t-058-monopod-stand.html,"Rp199.000,00"
157,Canon EOS 850D Kit EF-S 18-55mm F/4-5.6 IS STM,https://galaxycamera.id/en/canon-eos-850d-kit-ef-s-18-55mm.html,"Rp15.730.000,00"
158,Canon EOS 850D Body,https://galaxycamera.id/en/canon-eos-850d-body.html,"Rp14.190.000,00"
159,Canon EOS R6 Kit RF 24-105mm F4 L IS USM,https://galaxycamera.id/en/canon-eos-r6-rf-24-105mm-f4-l-is-usm.html,"Rp59.990.000,00"
160,Canon EOS R6 Kit RF 24-105mm F/4-7.1 IS STM,https://galaxycamera.id/en/canon-eos-r6-kit-24-105mm.html,"Rp48.600.000,00"
